# Desert Ant	Honey Bee	Naïve Linear
0.1	1	1	1 1
0.3	1.972768821	2.067364168	2.148309055 3
0.5	2.604500744	2.706034502	2.95067493 5
0.7	3.05833543	3.119174449	3.567754813 7
1	3.555516648	3.532352867	4.25529855 10
