algorithmid,r,tau,avg,stdev
2,0.5,0.25,45.0664064395651,35.7192583497668
2,0.5,0.333333,45.0786345333733,35.714386098848
2,0.5,0.5,45.0956184336567,35.704926170475
2,0.5,0.666667,45.1025965581584,35.7093377999659
2,0.5,0.75,45.0987770854708,35.6962660370656
2,0.5,0.8,45.149541040417,35.7065406767743
2,0.5,1,45.2250161553109,35.6800078019718
2,0.666667,0,45.3757251056807,34.8558387415757
2,0.666667,0.2,45.4393453080638,34.8476107829707
2,0.666667,0.25,45.4250947031491,34.8489417554234
2,0.666667,0.333333,45.4558890500009,34.8412364697029
2,0.666667,0.5,45.4639871031001,34.8345699128633
2,0.666667,0.666667,45.4773788989023,34.8276984925427
2,0.666667,0.75,45.4882454900646,34.8235841634104
2,0.666667,0.8,45.4941919574649,34.81399917393
2,0.666667,1,45.5437618232217,34.7981016365842
2,0.75,0,45.828267406936,35.0995342119278
2,0.75,0.2,45.8653194508254,35.098417029322
2,0.75,0.25,45.8603252710719,35.1099639005578
2,0.75,0.333333,45.8769884559832,35.0904486064234
2,0.75,0.5,45.8900693735644,35.0799128799396
2,0.75,0.666667,45.9061843466398,35.0676805073101
2,0.75,0.75,45.9221322076191,35.0719657027109
2,0.75,0.8,45.9211403282565,35.0692266224792
2,0.75,1,45.940830022355,35.0678087353674
2,0.8,0,46.9099954551267,34.1759321389614
2,0.8,0.2,46.9165657247256,34.1655709282622
2,0.8,0.25,46.9295097385104,34.1612407051948
2,0.8,0.333333,46.9228906304752,34.1554515937728
2,0.8,0.5,46.9448179797653,34.1456300626033
2,0.8,0.666667,46.9528425157157,34.1425324896673
2,0.8,0.75,46.9560681857063,34.1402477628811
2,0.8,0.8,46.9492467857536,34.1375252068448
2,0.8,1,46.984778104838,34.1324200805392
2,1,0,46.3628389893861,33.6406293126962
2,1,0.2,46.3887107905867,33.6464260848165
2,1,0.25,46.3823345940728,33.6374052192947
2,1,0.333333,46.3867500887989,33.6313138639092
2,1,0.5,46.3945125842082,33.6306018873681
2,1,0.666667,46.4134487830433,33.6353625467373
2,1,0.75,46.4180599760397,33.6235371468996
2,1,0.8,46.4016984356257,33.631220840994
2,1,1,46.4118838634059,33.6340412103958
3,0,0,0,0
3,0,0.2,0,0
3,0,0.25,0,0
3,0,0.333333,0,0
3,0,0.5,0,0
3,0,0.666667,0,0
3,0,0.75,0,0
3,0,0.8,0,0
3,0,1,0,0
3,0.2,0,0,0
3,0.2,0.2,30.9957155937731,33.8740282595461
3,0.2,0.25,33.4142578276575,34.8913734497738
3,0.2,0.333333,35.6714449056633,35.5623693781223
3,0.2,0.5,38.2656526548066,36.4465713339435
3,0.2,0.666667,38.4888704210942,36.4708695290375
3,0.2,0.75,38.3300449071506,36.6738681424582
3,0.2,0.8,37.5306589476312,36.6574093638684
3,0.2,1,31.2996846784193,35.9742900298441
3,0.25,0,0,0
3,0.25,0.2,30.4428153544307,33.4577817080489
3,0.25,0.25,33.1767732580035,34.6119262295782
3,0.25,0.333333,35.0718850954392,35.447833452181
3,0.25,0.5,38.0725765919899,36.3140855620745
3,0.25,0.666667,38.9408951842776,36.7164584537358
3,0.25,0.75,38.466724963856,36.6305988399821
3,0.25,0.8,38.0136945923544,36.550572548874
3,0.25,1,32.260473425714,36.2603487703758
3,0.333333,0,0,0
3,0.333333,0.2,30.2035686943035,32.9299890225774
3,0.333333,0.25,32.341742251848,33.9126936001715
3,0.333333,0.333333,35.4747966719204,34.8153129129038
3,0.333333,0.5,38.6316140904113,35.472254061765
3,0.333333,0.666667,39.8382389549736,35.8991177753097
3,0.333333,0.75,39.7612370084622,35.8911772338372
3,0.333333,0.8,39.3295613673247,35.8542871140865
3,0.333333,1,33.7979146245218,35.3278399196326
3,0.5,0,0,0
3,0.5,0.2,27.5321602449453,31.1422943222321
3,0.5,0.25,29.571267734879,31.8191968871421
3,0.5,0.333333,32.646118649448,33.4956817735443
3,0.5,0.5,36.8477699737257,34.7079699109417
3,0.5,0.666667,38.6131166638965,34.9890271333504
3,0.5,0.75,38.8469012324255,35.0451467803082
3,0.5,0.8,38.5346949591091,34.7309982462465
3,0.5,1,35.0528259528376,34.4317171525672
3,0.666667,0,0,0
3,0.666667,0.2,24.6219114115197,27.8274885641762
3,0.666667,0.25,27.0519624716715,29.4776035280038
3,0.666667,0.333333,30.2087745011481,30.8404804505286
3,0.666667,0.5,34.839257062639,32.7052396189526
3,0.666667,0.666667,37.5461184930753,33.7106485169545
3,0.666667,0.75,38.1591143029232,33.8383699873129
3,0.666667,0.8,38.4525199890093,33.8437167455474
3,0.666667,1,36.2084407780312,33.3780631438488
3,0.75,0,0,0
3,0.75,0.2,24.3633300976995,28.2924642647704
3,0.75,0.25,27.5025480421154,29.7114366459504
3,0.75,0.333333,30.5999994519852,31.3887101417643
3,0.75,0.5,34.8201519162249,33.0164243802549
3,0.75,0.666667,37.9319588237813,34.058906112927
3,0.75,0.75,38.797970039474,34.2369993674045
3,0.75,0.8,39.3289141494665,34.3559339457559
3,0.75,1,37.8766162478542,33.9945673068357
3,0.8,0,0,0
3,0.8,0.2,24.3169122509662,27.1369308582962
3,0.8,0.25,26.8372651720703,28.3371128851758
3,0.8,0.333333,30.525073724793,30.3417095372344
3,0.8,0.5,34.7795421663841,31.7825032251674
3,0.8,0.666667,37.8995588102699,32.7134165799176
3,0.8,0.75,38.9571729437107,32.9950621896577
3,0.8,0.8,39.4946022552922,33.115597746307
3,0.8,1,39.2013114904324,33.2288446136235
3,1,0,0,0
3,1,0.2,22.1062943972109,25.7264755448413
3,1,0.25,24.2678277238636,26.7762360163642
3,1,0.333333,27.4188301691188,28.6020121030669
3,1,0.5,32.1455799516217,30.6097666353452
3,1,0.666667,35.7728510959545,31.9617910408479
3,1,0.75,37.1274279881,32.2148797647345
3,1,0.8,37.8537817774582,32.4280387125697
3,1,1,40.4863084848364,32.948102494775
