algorithmid,swarmdensity,avg,stddev  
1,10,5.10371303704799,6.72437892301942
1,30,9.20322379726312,11.3634881286737
1,50,11.8945138994644,14.1217111477146
1,70,13.9534728484239,16.1154521117838
1,100,16.3560087140511,18.3595932093578
2,10,4.87728424794578,5.60323686988308
2,30,9.03855610171549,9.45316644483965
2,50,11.6236535019869,11.5605872501252
2,70,13.4727085826431,13.1004551519236
2,100,15.2921465712355,14.8434389307754
3,10,2.77913639980161,3.62215750766463
3,30,4.96326470679042,6.00573253322225
3,50,6.41787005308708,7.609700400878
3,70,7.55445937871548,8.88363633107746
3,100, 8.88633968472806,10.4392928750639
